Finding ID,Scanner,Rule ID,File,Line,Severity,Description,Resolution,Justification
CKV_AWS_173,Checkov,CKV_AWS_173,infra/template.yaml,243,WARNING,Lambda environment variable encryption,Accepted - SAM limitation,Same as above
CKV_AWS_51,Checkov,CKV_AWS_51,infra/template.yaml,51,WARNING,ECR Image Tags are not immutable,Accepted - deployment pattern,Using :latest tag for continuous deployment; image scanning enabled on push
CKV_AWS_136,Checkov,CKV_AWS_136,infra/template.yaml,51,WARNING,ECR repository not encrypted using KMS,Accepted - uses default AES-256,ECR uses AES-256 encryption by default; CMK adds cost without significant security benefit for this demo
CKV_AWS_116,Checkov,CKV_AWS_116,infra/template.yaml,243,WARNING,Lambda not configured for DLQ,Accepted - infra template not deployed,infra/template.yaml is not the active stack; aha_eventbridge_lambda/template.yaml (deployed) has DLQ configured
W89,cfn_nag,W89,infra/template.yaml,173,WARNING,Lambda should be deployed inside a VPC,Accepted - not required,Same justification as CKV_AWS_117
W89,cfn_nag,W89,infra/template.yaml,244,WARNING,Lambda should be deployed inside a VPC,Accepted - not required,Same justification as CKV_AWS_117
W89,cfn_nag,W89,aha_eventbridge_lambda/template.yaml,235,WARNING,Lambda should be deployed inside a VPC,Accepted - not required,Same justification as CKV_AWS_117
W89,cfn_nag,W89,aha_eventbridge_lambda/template.yaml,314,WARNING,Lambda should be deployed inside a VPC,Accepted - not required,Same justification as CKV_AWS_117
W89,cfn_nag,W89,aha_eventbridge_lambda/template.yaml,421,WARNING,Lambda should be deployed inside a VPC,Accepted - not required,Same justification as CKV_AWS_117
W11,cfn_nag,W11,infra/template.yaml,88,WARNING,IAM role should not allow * resource,Accepted - API limitation,AWS Organizations and EKS MCP APIs do not support resource-level permissions
W11,cfn_nag,W11,infra/template.yaml,173,WARNING,IAM role should not allow * resource,Accepted - API limitation,Same as above
W11,cfn_nag,W11,infra/template.yaml,244,WARNING,IAM role should not allow * resource,Accepted - API limitation,Same as above
W28,cfn_nag,W28,infra/template.yaml,52,WARNING,Resource with explicit name disallows replacement,Accepted - intentional,Explicit names used for stable cross-stack references and operational clarity
W28,cfn_nag,W28,infra/template.yaml,88,WARNING,Resource with explicit name disallows replacement,Accepted - intentional,Same as above
W28,cfn_nag,W28,infra/template.yaml,298,WARNING,Resource with explicit name disallows replacement,Accepted - intentional,Same as above
W28,cfn_nag,W28,aha_eventbridge_lambda/template.yaml,151,WARNING,Resource with explicit name disallows replacement,Accepted - intentional,Same as above
W84,cfn_nag,W84,aha_eventbridge_lambda/template.yaml,100,WARNING,CloudWatch LogGroup should specify KMS Key,Accepted - low sensitivity,Access logs contain request metadata only (no PII/secrets); KMS adds latency and cost
W35,cfn_nag,W35,aha_eventbridge_lambda/template.yaml,362,WARNING,S3 Bucket should have access logging,Accepted - enhancement for production,Would require a separate logging bucket; CloudTrail provides API-level audit coverage
arbitrary-sleep,Semgrep,arbitrary-sleep,setup_gateway.py,65,ERROR,time.sleep() call detected,Accepted - documented,Required 30s delay for IAM policy propagation across AWS regions; documented with inline comment
dockerfile-source-not-pinned,Semgrep,dockerfile-source-not-pinned,Dockerfile,5,INFO,FROM not pinned to sha256 hash,Accepted - operational,Comment shows pin pattern; actual hash changes per build and must be updated at build time
prefer-json-notation,Semgrep,prefer-json-notation,Dockerfile,21,INFO,Prefer JSON notation for CMD,Accepted - already using JSON array,CMD already uses JSON array syntax; HEALTHCHECK CMD uses shell form intentionally for || exit 1
